eid,canonical_name,entity_type,is_inferred,created_source,fund_rows,fund_aum_usd,filer_rows,filer_aum_usd,ech_class,ech_is_activist,ech_source,ciks
26681,"BlackRock MuniYield New York Quality Fund, Inc.",institution,False,bootstrap_tier4,501,1411948820.7299988,,0.0,unknown,False,bootstrap_tier4,0000882150
26710,"BlackRock MuniAssets Fund, Inc.",institution,False,bootstrap_tier4,1116,1246083440.4799993,,0.0,unknown,False,bootstrap_tier4,0000901243
26857,BlackRock Credit Allocation Income Trust,institution,False,bootstrap_tier4,2001,1200288924.749997,,0.0,unknown,False,bootstrap_tier4,0001379384
26696,"BlackRock MuniYield Michigan Quality Fund, Inc.",institution,False,bootstrap_tier4,290,1175736854.1,,0.0,unknown,False,bootstrap_tier4,0000890393
26727,"BlackRock MuniHoldings New York Quality Fund, Inc.",institution,False,bootstrap_tier4,483,1152161737.6700003,,0.0,unknown,False,bootstrap_tier4,0001038186
27028,BlackRock Health Sciences Term Trust,institution,False,bootstrap_tier4,174,1075875518.08,,0.0,unknown,False,bootstrap_tier4,0001785971
26768,BlackRock Municipal Income Quality Trust,institution,False,bootstrap_tier4,468,1057158741.2400002,,0.0,active,False,tier4_keyword_sweep,0001181187
26887,BlackRock Taxable Municipal Bond Trust,institution,False,bootstrap_tier4,280,1045134482.0199999,,0.0,active,False,tier4_keyword_sweep,0001493683
18325,BlackRock Fund Advisors,institution,True,ncen_adviser_map,390,1035174698.5699996,,0.0,,,,
27063,BlackRock Technology and Private Equity Term Trust,institution,False,bootstrap_tier4,86,920051635.7299997,,0.0,unknown,False,bootstrap_tier4,0001836057
26747,BlackRock New York Municipal Income Trust,institution,False,bootstrap_tier4,482,913908425.4899997,,0.0,active,False,tier4_keyword_sweep,0001137390
26901,BlackRock Resources & Commodities Strategy Trust,institution,False,bootstrap_tier4,48,882511375.49,,0.0,unknown,False,bootstrap_tier4,0001506289
27049,BlackRock Private Investments Fund,institution,False,bootstrap_tier4,583,853864864.3199995,,0.0,unknown,False,bootstrap_tier4,0001816389
26693,"BlackRock MuniYield Quality Fund II, Inc.",institution,False,bootstrap_tier4,637,836760943.8000001,,0.0,unknown,False,bootstrap_tier4,0000887394
26704,"BlackRock MuniVest Fund II, Inc.",institution,False,bootstrap_tier4,481,827998250.0800008,,0.0,unknown,False,bootstrap_tier4,0000897269
26738,"BlackRock MuniHoldings Quality Fund II, Inc.",institution,False,bootstrap_tier4,518,824859838.3000002,,0.0,unknown,False,bootstrap_tier4,0001071899
26932,BlackRock Multi-Sector Income Trust,institution,False,bootstrap_tier4,1821,783769959.7899991,,0.0,unknown,False,bootstrap_tier4,0001562818
26728,"BlackRock Debt Strategies Fund, Inc.",institution,False,bootstrap_tier4,1288,752502370.6999997,,0.0,unknown,False,bootstrap_tier4,0001051003
26650,"BlackRock Income Trust, Inc.",institution,False,bootstrap_tier4,772,736035479.31,,0.0,unknown,False,bootstrap_tier4,0000832327
26700,"BlackRock Investment Quality Municipal Trust, Inc.",institution,False,bootstrap_tier4,549,720930328.3400007,,0.0,active,False,tier4_keyword_sweep,0000894242
26841,BlackRock Enhanced Global Dividend Trust,institution,False,bootstrap_tier4,173,717745115.6,,0.0,unknown,False,bootstrap_tier4,0001320375
27010,BlackRock HPS Credit Strategies Fund,institution,False,bootstrap_tier4,588,601401004.5600002,,0.0,unknown,False,bootstrap_tier4,0001752019
26917,"BlackRock Utilities, Infrastructure & Power Opportunities Trust",institution,False,bootstrap_tier4,49,589027132.7899997,,0.0,unknown,False,bootstrap_tier4,0001528988
26837,BlackRock Health Sciences Trust,institution,False,bootstrap_tier4,158,570446275.5899999,,0.0,unknown,False,bootstrap_tier4,0001314966
26868,BlackRock Enhanced International Dividend Trust,institution,False,bootstrap_tier4,127,568124234.7900002,,0.0,unknown,False,bootstrap_tier4,0001393299
26802,"BlackRock Floating Rate Income Strategies Fund, Inc.",institution,False,bootstrap_tier4,471,555952705.32,,0.0,unknown,False,bootstrap_tier4,0001259708
26796,BlackRock Ltd Duration Income Trust,institution,False,bootstrap_tier4,2106,545710625.5500007,,0.0,unknown,False,bootstrap_tier4,0001233681
26697,BlackRock MuniYield Pennsylvania Quality Fund,institution,False,bootstrap_tier4,329,521820072.81000024,,0.0,unknown,False,bootstrap_tier4,0000891038
27060,BlackRock 2037 Municipal Target Term Trust,institution,False,bootstrap_tier4,299,463277357.36,,0.0,active,False,tier4_keyword_sweep,0001832871
