cik,filer_rows,filer_aum,distinct_filer_eids,filer_eid,filer_name,filer_canonical_name,filer_entity_type
0002067972,5021,936023435,1,10126,"HFM Investment Advisors, LLC","HFM Investment Advisors, LLC",institution
0001742647,58,935834918,1,332,Moerus Capital Management LLC,Moerus Capital Management LLC,institution
0001951167,142,935303839,1,3111,"AJ Advisors, LLC","AJ Advisors, LLC",institution
0001861125,245,935277917,1,3344,Westwood Wealth Management,Westwood Wealth Management,institution
0002010014,122,934277136,1,9631,"Grunden Financial Advisory, Inc.","Grunden Financial Advisory, Inc.",institution
0001582561,556,934257238,1,7448,Blackhawk Capital Partners LLC.,"Blackhawk Capital Partners, LLC",institution
0001517429,230,934018949,1,3448,"Reliant Investment Management, LLC","Reliant Investment Management, LLC",institution
0001802881,469,933711035,1,707,Caas Capital Management LP,CAAS CAPITAL MANAGEMENT LP,institution
0001801991,764,933526273,1,6914,"Lion Street Advisors, LLC","Lion Street Advisors, LLC",institution
0001842572,556,933280521,1,4373,Altus Wealth Group LLC,Altus Wealth Group LLC,institution
0002024264,682,933227045,1,6259,"Abound Financial, LLC","ABOUND FINANCIAL, LLC",institution
0001960749,1143,933027787,1,3003,Gallacher Capital Management LLC,Gallacher Capital Management LLC,institution
0001992519,2524,932544075,1,10532,"EntryPoint Capital, LLC","EntryPoint Capital, LLC",institution
0001962636,1328,932127834,1,1718,Register Financial Advisors LLC,Register Financial Advisors LLC,institution
0002016904,114,931665476,1,2312,"Verisail Partners, LLC","Verisail Partners, LLC",institution
0001894164,762,931241176,1,3109,"Burns Matteson Capital Management, LLC","Burns Matteson Capital Management, LLC",institution
0002010410,1062,930967580,1,8437,Everpar Advisors LLC,EVERPAR ADVISORS LLC,institution
0001802994,302,930709438,1,10273,"Mine & Arao Wealth Creation & Management, LLC.","Mine & Arao Wealth Creation & Management, LLC.",institution
0001548059,1027,930486582,1,9820,"Tcfg Wealth Management, LLC","TCFG WEALTH MANAGEMENT, LLC",institution
0000944733,180,930150303,1,3087,Hutner Capital Management Inc,HUTNER CAPITAL MANAGEMENT INC,institution
0001865141,6,930133591,1,714,Index Venture Growth Associates IV Ltd,Index Venture Growth Associates IV Ltd,institution
0001965668,142,929819911,1,6629,Parker Financial LLC,Parker Financial LLC,institution
0001791555,322,929580583,1,6048,"Hubbell Strickland Wealth Management, LLC","Hubbell Strickland Wealth Management, LLC",institution
0001623624,35,928840988,1,4470,PSquared Asset Management AG,PSquared Asset Management AG,institution
0001727642,90,928821402,1,1789,"WJ Interests, LLC","WJ Interests, LLC",institution
0001888792,188,928342947,1,2819,"Ardent Capital Management, Inc.","Ardent Capital Management, Inc.",institution
0002037578,105,928142336,1,3269,"Hamilton Capital Partners, LLC","HAMILTON CAPITAL PARTNERS, LLC",institution
0001659978,665,928134173,1,6373,"Quartz Partners, LLC","Quartz Partners, LLC",institution
0001764260,520,927450902,1,8739,"Maltin Wealth Management, Inc.","Maltin Wealth Management, Inc.",institution
0001729457,327,927165488,1,6241,"Nova R Wealth, Inc.","Nova R Wealth, Inc.",institution
0002008306,80,926268767,1,5872,Monolith Management Ltd,Monolith Management Ltd,institution
0001964530,469,925028420,1,11199,Cora Capital Advisors LLC,CORA CAPITAL ADVISORS LLC,institution
0001803386,568,924994894,1,982,Wealth Quarterback LLC,Wealth Quarterback LLC,institution
0001802952,1460,924923766,1,2960,"Game Plan Financial Advisors, LLC","Game Plan Financial Advisors, LLC",institution
0001998574,97,924853783,1,7682,"Shariaportfolio, Inc.","SHARIAPORTFOLIO, INC.",institution
0001731445,352,924342861,1,2337,"Towerpoint Wealth, LLC","Towerpoint Wealth, LLC",institution
0002052308,349,923766193,1,10793,Potentia Wealth,POTENTIA WEALTH,institution
0002003570,228,923473944,1,9900,"BCU Wealth Advisors, LLC","BCU Wealth Advisors, LLC",institution
0001817693,952,923215382,1,4775,"Retirement Planning Co of New England, Inc.","Retirement Planning Co of New England, Inc.",institution
0001080197,534,922919691,1,2627,Schulhoff & Co Inc,SCHULHOFF & CO INC,institution
0002098400,440,922233586,1,9637,Indivisible Partners,Indivisible Partners,institution
0001914099,217,922040561,1,2124,BancFirst Trust & Investment Management,BancFirst Trust & Investment Management,institution
0001558971,31,921966597,1,2421,"Tekne Capital Management, LLC","Tekne Capital Management, LLC",institution
0001836506,576,920274995,1,9210,"Mitchell & Pahl Private Wealth, LLC","MITCHELL & PAHL PRIVATE WEALTH, LLC",institution
0002008166,163,919479610,1,5265,"Peirce Capital Management, LLC","Peirce Capital Management, LLC",institution
0002019084,594,919033159,1,11227,"Kirtland Hills Capital Management, LLC","KIRTLAND HILLS CAPITAL MANAGEMENT, LLC",institution
0001904423,265,919001079,1,2788,"Custos Family Office, LLC","Custos Family Office, LLC",institution
0001505961,151,918871535,1,7336,"Decatur Capital Management, Inc.","Decatur Capital Management, Inc.",institution
0001525947,597,918562421,1,6155,"Kessler Investment Group, LLC","Kessler Investment Group, LLC",institution
0002050169,187,918378557,1,10017,"Quantum Financial Planning Services, Inc.","Quantum Financial Planning Services, Inc.",institution
0002032561,492,917973987,1,9123,FreeGulliver LLC,FreeGulliver LLC,institution
0001599795,439,917709229,1,11197,"Robinson Capital Management, LLC","ROBINSON CAPITAL MANAGEMENT, LLC",institution
0002067069,208,917043255,1,7708,"Ccm Investment Group, LLC","CCM INVESTMENT GROUP, LLC",institution
0001663224,1937,916958417,1,6374,"Darwin Wealth Management, LLC","Darwin Wealth Management, LLC",institution
0002022783,599,916732572,1,6456,"Prairie Wealth Advisors, Inc.","Prairie Wealth Advisors, Inc.",institution
0002068236,332,916613835,1,6640,"Plum Street Advisors, LLC","Plum Street Advisors, LLC",institution
0001916366,366,916442178,1,9707,"My Personal CFO, LLC","My Personal CFO, LLC",institution
0001770120,30,916319630,1,10267,JNE Partners LLP,JNE Partners LLP,institution
0001893767,68,915969968,1,6421,"Caden Capital Partners, LP","CADEN CAPITAL PARTNERS, LP",institution
0001801619,1925,915337983,1,9399,"Bellevue Asset Management, LLC","BELLEVUE ASSET MANAGEMENT, LLC",institution
0001716983,169,914937554,1,3093,"SimpliFi, Inc.","SimpliFi, Inc.",institution
0001512901,211,914555707,1,11218,Nbw Capital LLC,NBW CAPITAL LLC,institution
0001719087,1268,914319307,1,2044,"Diametric Capital, LP","Diametric Capital, LP",institution
0001752045,370,914214600,1,7430,"Exeter Financial, LLC","Exeter Financial, LLC",institution
0001600585,575,913692215,1,6370,Mendel Money Management,Mendel Money Management,institution
0002105396,217,913523137,1,5781,"Legacy Edge Advisors, LLC","Legacy Edge Advisors, LLC",institution
0002056521,198,913349579,1,2211,Master's Wealth Management Inc.,MASTER'S WEALTH MANAGEMENT INC.,institution
0001384484,121,912703072,1,9829,Mad River Investors,MAD RIVER INVESTORS,institution
0001121404,36,912463534,1,7997,Sanofi,Sanofi,institution
0001908158,445,912356631,1,5845,"Miller Wealth Advisors, LLC","MILLER WEALTH ADVISORS, LLC",institution
0001279151,79,912307391,1,4259,Luminus Management LLC,LUMINUS MANAGEMENT LLC,institution
0001911468,644,912245066,1,1465,"O'ROURKE & COMPANY, Inc","O'ROURKE & COMPANY, Inc",institution
0001765278,382,912123928,1,4614,EWG Elevate Inc.,EWG Elevate Inc.,institution
0000811454,300,911919472,1,4704,Westport Asset Management Inc,WESTPORT ASSET MANAGEMENT INC,institution
0001584087,455,911241433,1,291,1492 Capital Management LLC,1492 Capital Management LLC,institution
0001862067,449,911112428,1,7609,"FWG Holdings, LLC","FWG Holdings, LLC",institution
0001050463,599,910532516,1,3088,Morgan Dempsey Capital Management LLC,MORGAN DEMPSEY CAPITAL MANAGEMENT LLC,institution
0001483262,9,910490772,1,1448,State of New Jersey Common Pension Fund A,State of New Jersey Common Pension Fund A,institution
0001792565,412,910385650,1,6752,"Pavion Blue Capital, LLC","Pavion Blue Capital, LLC",institution
0001964460,182,910385051,1,227,"Envision Financial Planning, LLC","Envision Financial Planning, LLC",institution
0001802691,291,910237201,1,4985,"McNaughton Wealth Management, LLC","McNaughton Wealth Management, LLC",institution
0001730580,61,909478878,1,9938,Harbor Island Capital LLC,Harbor Island Capital LLC,institution
0001927705,335,909419458,1,4510,"Delap Wealth Advisory, LLC","DELAP WEALTH ADVISORY, LLC",institution
0001775850,527,909046498,1,2993,"MBE Wealth Management, LLC","MBE Wealth Management, LLC",institution
0001133119,1005,908422366,1,10866,Davidson Trust Co,DAVIDSON TRUST CO,institution
0001973783,233,908336032,1,1875,O'Connor Financial Group LLC,O'Connor Financial Group LLC,institution
0001763958,254,908166557,1,4372,Sellwood Investment Partners LLC,Sellwood Investment Partners LLC,institution
0001843275,354,907533774,1,9407,"TKG Advisors, LLC","TKG Advisors, LLC",institution
0001659346,275,907236948,1,7014,"Deane Retirement Strategies, Inc.","Deane Retirement Strategies, Inc.",institution
0002045104,30,907214520,1,455,CIBC Capital Markets (Europe) S.A.,CIBC Capital Markets (Europe) S.A.,institution
0002056313,1399,906531810,1,2315,Bernard Wealth Management Corp.,Bernard Wealth Management Corp.,institution
0001882572,833,906494160,1,217,Riverwater Partners LLC,Riverwater Partners LLC,institution
0001964652,1663,906380213,1,11055,New England Capital Financial Advisors LLC,New England Capital Financial Advisors LLC,institution
0001723514,245,905901263,1,10483,"Guardian Financial Partners, LLC","Guardian Financial Partners, LLC",institution
0001674784,113,905809747,1,8030,Silver Rock Financial LP,Silver Rock Financial LP,institution
0002029294,272,905753136,1,490,Mills Wealth Advisors LLC,Mills Wealth Advisors LLC,institution
0001819919,505,905227868,1,6333,"Paces Ferry Wealth Advisors, LLC","PACES FERRY WEALTH ADVISORS, LLC",institution
0001960212,1088,905131083,1,2307,JDM Financial Group LLC,JDM Financial Group LLC,institution
0002001016,264,904650408,1,5183,Prosperitas Financial LLC,Prosperitas Financial LLC,institution
0001961210,326,904085854,1,9494,Shira Ridge Wealth Management,Shira Ridge Wealth Management,institution
0001517666,98,903697513,1,7826,Western Standard LLC,Western Standard LLC,institution
0001906275,445,902380035,1,6542,Bowman & Co S.C.,Bowman & Co S.C.,institution
0001842554,257,901936909,1,6139,"ACT Advisors, LLC.","ACT Advisors, LLC.",institution
0001652348,490,901786526,1,1564,"Genesee Capital Advisors, LLC","Genesee Capital Advisors, LLC",institution
0001653202,220,901732854,1,4819,"Lgl Partners, LLC","LGL PARTNERS, LLC",institution
0001565951,359,901600148,1,2759,"DC Investments Management, LLC","DC Investments Management, LLC",institution
0001904152,326,901528258,1,10770,"Dopkins Wealth Management, LLC","DOPKINS WEALTH MANAGEMENT, LLC",institution
0001909565,156,901347266,1,4696,"New Perspectives, Inc","New Perspectives, Inc",institution
0001911970,563,901109827,1,635,Future Fund LLC,Future Fund LLC,institution
0002068112,556,901081855,1,10146,"Forefront Wealth Partners, LLC","Forefront Wealth Partners, LLC",institution
0001848704,546,900883871,1,8576,MBA Advisors LLC,MBA Advisors LLC,institution
0002050555,386,900512681,1,3005,"Keyvantage Wealth, LLC","KEYVANTAGE WEALTH, LLC",institution
0002015578,632,900369562,1,5284,BlueChip Wealth Advisors LLC,BlueChip Wealth Advisors LLC,institution
0001741426,746,900104247,1,7795,"Quad-Cities Investment Group, LLC","Quad-Cities Investment Group, LLC",institution
0002001434,659,900003074,1,3921,"Burford Brothers, Inc.","Burford Brothers, Inc.",institution
0001846114,191,899714141,1,8046,"Boyd Wealth Management, LLC","Boyd Wealth Management, LLC",institution
0001842357,124,899419250,1,427,"Choice Wealth Advisors, LLC","Choice Wealth Advisors, LLC",institution
0001940406,580,899054747,1,2534,Greenfield Savings Bank,Greenfield Savings Bank,institution
0001839498,151,898836657,1,6164,"DCM Advisors, LLC","DCM Advisors, LLC",institution
0000702007,3497,898608765,1,9164,"Caldwell Sutter Capital, Inc."," CALDWELL SUTTER CAPITAL, INC.",institution
0002081474,66,898531566,1,1441,"Vestwell Advisors, LLC","Vestwell Advisors, LLC",institution
0001665751,29,898380613,1,10948,Brilliance Asset Management Ltd,BRILLIANCE ASSET MANAGEMENT LTD,institution
0002009211,596,898314305,1,11219,"Wetzel Investment Advisors, Inc.","WETZEL INVESTMENT ADVISORS, INC.",institution
0001906790,158,897783866,1,7384,"Bayshore Asset Management, LLC","BAYSHORE ASSET MANAGEMENT, LLC",institution
0002044929,186,897589370,1,7684,"Conway Capital Management, Inc.","CONWAY CAPITAL MANAGEMENT, INC.",institution
0001966482,265,896697623,1,5771,"Continuum Wealth Advisors, LLC","CONTINUUM WEALTH ADVISORS, LLC",institution
0001356202,385,896522019,1,8194,"Beech Hill Advisors, Inc.","Beech Hill Advisors, Inc.",institution
0001892770,360,896476741,1,5571,Knott David M Jr,Knott David M Jr,institution
0002032544,410,896085225,1,8937,"Christensen, King & Associates Investment Services, Inc.","Christensen, King & Associates Investment Services, Inc.",institution
0001549738,72,895126731,1,5678,"JW Asset Management, LLC","JW Asset Management, LLC",institution
