cik,fund_rows,fund_aum,distinct_brand_eids,brand_eid,brand_name,brand_canonical_name,brand_entity_type
0001012968,5047,202635398779.04996,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0000793769,10426,199621259560.00974,10,379,"Harbor Capital Advisors, Inc.",WESTFIELD CAPITAL MANAGEMENT CO LP,institution
0000719608,1053,192459769535.84,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000891190,15028,186282787316.63977,1,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000916620,63050,184895466877.07034,2,3704,Northern Trust,"Northern Trust Investments, Inc",institution
0000061397,530,184707250692.39,1,10443,Fidelity / FMR,FMR LLC,institution
0000044402,7345,184310849440.03995,1,55,Neuberger Berman,Neuberger Berman,institution
0000354046,1242,184059970202.76004,1,10443,Fidelity / FMR,FMR LLC,institution
0001593547,31498,181015758874.03003,9,73,SEI INVESTMENTS CO,Baird,institution
0000725781,2940,180848575873.15448,2,4,Invesco,Invesco,institution
0000826644,15540,179220706777.8449,3,4,Invesco,Invesco,institution
0000778207,34588,178702489902.03998,18,834,"Transamerica Asset Management, Inc.",THOMPSON SIEGEL & WALMSLEY LLC,institution
0000351601,77711,176554610259.51,25,142,U.S. Strategic Equity Fund,COHEN & STEERS CAPITAL MANAGEMENT INC,institution
0000711175,32466,176303960389.32983,2,1589,"PGIM, Inc.","PGIM, Inc.",institution
0000275309,4012,174759590691.89008,1,10443,Fidelity / FMR,FMR LLC,institution
0000802716,15867,174251568915.37003,2,9130,Victory Capital Management Inc,VICTORY CAPITAL MANAGEMENT INC,institution
0002042316,20379,171226269066.3603,1,9130,VICTORY CAPITAL MANAGEMENT INC,VICTORY CAPITAL MANAGEMENT INC,institution
0000105377,2254,169700057256.07144,1,4,Invesco,Invesco,institution
0000939934,70414,165522217197.89304,13,808,Acadian Asset Management LLC,JOHCM (USA) Inc,institution
0001329377,6563,163748964441.19992,2,8,First Trust Portfolios,First Trust,institution
0000883622,9999,163349370618.60004,3,87,Nomura,Nomura,institution
0000719423,52694,161622770891.87006,15,1013,The Variable Annuity Life Insurance Company,"Clearbridge Investments, LLC",institution
0000751199,39864,160095442327.63004,2,2400,Fidelity / FMR,Fidelity Management & Research Co LLC,institution
0000945908,17677,158144547074.50015,1,11,,Fidelity / FMR,institution
0000816153,11607,151451180759.74994,1,2925,THORNBURG INVESTMENT MANAGEMENT INC,THORNBURG INVESTMENT MANAGEMENT INC,institution
0000927845,521,150796247415.35995,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0000353905,51347,149936230555.75003,10,3421,Nationwide Fund Advisors,"Allspring Global Investments, LLC",institution
0001303459,7964,147171018972.72006,2,2400,Fidelity / FMR,Fidelity Management & Research Co LLC,institution
0000790166,63136,142571206650.13922,1,1699,Thrivent Financial for Lutherans,Thrivent Financial for Lutherans,institution
0000787623,26465,142171872376.08002,3,7586,TRANSAMERICA CORP,BlackRock Fund Advisors,institution
0001505612,5430,141384575945.46002,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0001131013,40138,140747635441.93018,8,195,"GuideStone Capital Management, LLC","Guggenheim Partners Investment Management, LLC",institution
0001137360,17380,138750422307.37994,2,21,VAN ECK ASSOCIATES CORP,JPMorgan Asset Management,institution
0000867969,397,138169467706.46002,1,17,MFS Investment Management,MFS Investment Management,institution
0000866256,284,137547681578.82,1,62,Parnassus Investments,Parnassus Investments,institution
0000887147,670,136855231734.53003,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0000805650,289,136758800968.25,1,1355,FRANKLIN ADVISERS INC,FRANKLIN ADVISERS INC,institution
0000878719,14039,136392150540.33682,11,1592,"RICE HALL JAMES & ASSOCIATES, LLC","Hamlin Capital Management, LLC",institution
0000811869,54750,133617448019.59929,1,7823,"Thrivent Asset Management, LLC","Thrivent Asset Management, LLC",institution
0000889508,291,133598570161.31,1,8497,ALLIANCEBERNSTEIN L.P.,ALLIANCEBERNSTEIN L.P.,institution
0000022370,12707,133190009216.94331,9,194,"MANUFACTURERS LIFE INSURANCE COMPANY, THE","Graham Capital Management, L.P.",institution
0000742212,21538,132269848172.45996,13,564,NORTHWESTERN MUTUAL LIFE INSURANCE CO,NORTHWESTERN MUTUAL LIFE INSURANCE CO,institution
0000787441,9834,130546182632.58987,5,5046,NEW YORK LIFE INSURANCE CO,"Winslow Capital Management, LLC",institution
0000872649,6381,129987967592.01001,1,2271,"NATIXIS ADVISORS, LLC","NATIXIS ADVISORS, LLC",institution
0000772129,32706,128835743770.24991,1,18286,"Grantham, Mayo, Van Otterloo & Co. LLC","Grantham, Mayo, Van Otterloo & Co. LLC",institution
0000049905,10996,125984117173.85013,4,2984,"Hartford Funds Management Company, LLC",Hartford Funds Management Co LLC,institution
0000356494,6137,125181559985.16003,1,10443,Fidelity / FMR,FMR LLC,institution
0000908186,3569,124182951440.63,8,12706,Real Estate Fund,Global Real Estate Fund,fund
0001318342,6912,123541263314.37982,6,9232,"WCM INVESTMENT MANAGEMENT, LLC","WCM INVESTMENT MANAGEMENT, LLC",institution
0000869365,36729,123456279969.71008,2,5,Charles Schwab,Charles Schwab,institution
0000729218,2630,123100785207.26999,3,3512,Fidelity / FMR,FIL Investment Advisors,institution
0000929523,9649,121765381507.14984,1,77,,PGIM,institution
0001432353,20952,121626798958.79007,1,8005,Global X Management CO LLC,Global X Management CO LLC,institution
0001141819,36940,121500351950.19995,1,8876,MAIRS & POWER INC,MAIRS & POWER INC,institution
0000894024,487,120314685288.46999,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0000880859,7201,120312747819.14066,2,4,Invesco,Invesco,institution
0000823535,15915,118447855877.24016,2,3512,Fidelity / FMR,FIL Investment Advisors,institution
0000927384,5708,117476712958.67,1,10443,Fidelity / FMR,FMR LLC,institution
0001710607,94738,117036807497.12033,54,8544,Avantis International Equity Fund,AMERICAN CENTURY INVESTMENT MANAGEMENT INC,institution
0000815425,6014,116953632327.73988,1,10178,Ameriprise Financial,AMERIPRISE FINANCIAL INC,institution
0000745968,3644,116751440923.71999,1,17930,Federated Advisory Services Company,Federated Advisory Services Company,institution
0000825063,1865,115385321549.18001,1,4805,Franklin Templeton,FRANKLIN RESOURCES INC,institution
0001097519,11898,113186114363.25995,2,8654,Ameriprise Financial,"Columbia Management Investment Advisers, LLC",institution
0000088525,14215,113112543913.99997,1,195,"Guggenheim Partners Investment Management, LLC","Guggenheim Partners Investment Management, LLC",institution
0000837276,19643,112269458531.73607,8,2489,"VOYA INVESTMENTS, LLC","Voya Financial, Inc.",institution
0000200489,7183,111067296079.24998,1,17,MFS Investment Management,MFS Investment Management,institution
0000795259,18868,109640583204.94995,1,5099,MUTUAL OF AMERICA LIFE INSURANCE CO,MUTUAL OF AMERICA LIFE INSURANCE CO,institution
0000803747,404,109514638482.34,1,18073,J.P. Morgan Investment Management Inc.,J.P. Morgan Investment Management Inc.,institution
0000887340,22762,108253436199.68007,13,3700,NEW YORK LIFE INSURANCE CO,PineStone Asset Management Inc.,institution
0001547011,546,105981804603.86002,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000826732,14710,105622120502.84004,1,63,Calamos Investments,Calamos Investments,institution
0001761055,10704,105540096928.56001,1,2,BlackRock / iShares,BlackRock / iShares,institution
0000911507,6635,105530970849.53995,1,893,"LORD, ABBETT & CO. LLC","LORD, ABBETT & CO. LLC",institution
0000034066,3714,103406409665.76006,1,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000804239,55591,103383814125.53003,13,1324,SEI INVESTMENTS MANAGEMENT CORP,"Mountaineer Partners Management, LLC",institution
0001667919,9021,102889993296.37999,1,8,,First Trust,institution
0001469192,22160,101694814310.73993,3,2373,NEW YORK LIFE INSURANCE CO,"CUSHING ASSET MANAGEMENT, LP dba NXG INVESTMENT MANAGEMENT",institution
0001005942,14044,101328430037.51904,4,16,Putnam Investments,Putnam Investments,institution
0000013075,5801,101149751896.56999,0,,,,
0000831114,23531,100682691372.37997,16,194,Matson Money. Inc.,"Graham Capital Management, L.P.",institution
0000063068,3019,100517092294.48001,1,17,MFS Investment Management,MFS Investment Management,institution
0001450011,21550,100002805332.7499,1,30,PIMCO,PIMCO,institution
0001738078,19345,98709209206.27997,1,2,BlackRock / iShares,BlackRock / iShares,institution
0001217673,2751,96700382501.04,1,4830,BAMCO INC /NY/,BAMCO INC /NY/,institution
0001462712,387,95245512758.79999,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0000315700,3079,95134049332.22002,1,10443,Fidelity / FMR,FMR LLC,institution
0000874964,8970,95068157039.05998,1,58,Lazard Asset Management,Lazard Asset Management,institution
0001048702,50504,94930969010.97006,11,299,Nationwide Fund Advisors,"BAILARD, INC.",institution
