series_id,fund_name,family_name,current_fund_strategy,proposed_fund_strategy,total_net_assets,triggering_pattern
S000056585,Natixis Target Retirement 2020 Fund,Natixis Funds Trust IV,balanced,passive,4433281.24,target_retirement
S000003093,PHARMACEUTICALS ULTRASECTOR PROFUND,ProFunds,balanced,passive,3783026.27,profund
S000003060,SMALL-CAP GROWTH PROFUND,ProFunds,equity,passive,3778196.29,profund
S000056583,Natixis Target Retirement 2015 Fund,Natixis Funds Trust IV,balanced,passive,3611378.49,target_retirement
S000003727,Mid-Cap 1.5x Strategy Fund,Rydex Variable Trust,balanced,passive,3600494.26,leveraged_digit_x
S000052787,Direxion Monthly High Yield Bull 1.2X Fund,Direxion Funds,equity,passive,3513582.11,leveraged_digit_x
S000091945,Voya Target Retirement 2070 Fund,Voya Separate Portfolios Trust,equity,passive,3423479.97,target_retirement
S000003095,REAL ESTATE ULTRASECTOR PROFUND,ProFunds,balanced,passive,2991376.19,profund
S000003728,Russell 2000 1.5x Strategy Fund,Rydex Variable Trust,balanced,passive,2830890.12,leveraged_digit_x
S000003749,Europe 1.25x Strategy Fund,Rydex Variable Trust,balanced,passive,2719555.77,leveraged_digit_x
S000083881,Direxion Daily MSCI Emerging Markets ex China Bull 2X Shares,Direxion Shares ETF Trust,multi_asset,passive,2632849.02,leveraged_digit_x
S000003073,MID-CAP VALUE PROFUND,ProFunds,equity,passive,2253573.22,profund
S000003695,Europe 1.25x Strategy Fund,Rydex Series Funds,multi_asset,passive,2201465.06,leveraged_digit_x
S000067274,PGIM Target Date 2065 Fund,Prudential Investment Portfolios 5,equity,passive,1988488.64,target_date
S000085464,Fidelity Sustainable Target Date 2070 Fund,Fidelity Aberdeen Street Trust,equity,passive,1455975.85,target_date
S000080305,Fidelity Sustainable Target Date 2015 Fund,Fidelity Aberdeen Street Trust,equity,passive,1449815.84,target_date
S000080299,Fidelity Sustainable Target Date Retirement Fund,Fidelity Aberdeen Street Trust,equity,passive,1427229.77,target_date
S000084732,American Funds IS 2070 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,1390074.71,target_date
S000003735,Inverse Government Long Bond Strategy Fund,Rydex Variable Trust,multi_asset,passive,1334417.45,inverse
S000080304,Fidelity Sustainable Target Date 2010 Fund,Fidelity Aberdeen Street Trust,equity,passive,1266557.32,target_date
S000003772,Inverse Russell 2000 Strategy Fund,Rydex Series Funds,balanced,passive,1167563.97,inverse
S000089405,Dimensional 2070 Target Date Retirement Income Fund,DFA INVESTMENT DIMENSIONS GROUP INC,equity,passive,864499.73,target_date
S000080327,American Funds IS 2060 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,785109.21,target_date
S000015882,Inverse High Yield Strategy Fund,Rydex Series Funds,balanced,passive,584905.63,inverse
S000080328,American Funds IS 2065 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,340188.98,target_date
S000003746,Inverse Russell 2000 Strategy Fund,Rydex Variable Trust,multi_asset,passive,202824.21,inverse
S000003745,Inverse Mid-Cap Strategy Fund,Rydex Variable Trust,multi_asset,passive,111052.68,inverse
S000089025,PGIM Target Date 2070 Fund,Prudential Investment Portfolios 5,equity,passive,76083.36,target_date
