entity_id,canonical_name,entity_type_entities,ECH_source,institution_aum_usd,fund_rollup_aum_usd,signal_A_hit,signal_B_hit,signal_C_hit,signal_C_label,signal_D_hit,signal_D_value,signal_E_hit,signal_E_value,tier,recommended_wave,rationale
10981,"HSG Onshore Fund Management, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
11118,"Silver Lake Technology Associates VI Cayman, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
18595,"SG Trading Solutions, LLC",institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
636,"Insight Associates XII, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
1262,"HSG Venture V Management, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
2009,"ICONIQ Strategic Partners VI GP, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
3973,"Hellman & Friedman Investors X, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
5451,"Samlyn Portable Alpha, Ltd.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
8208,"Insight Venture Associates VII, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
8289,"Ategra Community Financial Institution Fund, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10224,MARATHON PARTNERS L.P.,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
7287,Sphera Global Healthcare Management LP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
19774,"Seaport Global Advisors, LLC",institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
20006,Nomura Corporate Research and Asset Management Inc.,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
19939,"Magnetar Asset Management, LLC",institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
3458,Yorktown X Co LP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
4175,"SC US/E Expansion Fund I Management, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
4513,"ICONIQ Strategic Partners VII, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
7144,"MALTA TITAN FUND, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
8394,"Bain Capital Fund XII, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10720,"COBALT PARTNERS, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10958,"SCGGF III - Endurance Partners Management, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
18375,Mackenzie Investments,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
20165,Calamos Antetokounmpo Asset Management LLC,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
5995,"ASSF Operating Manager IV, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
18845,Polunin Capital Partners Limited,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
18213,Pear Tree Advisors Inc.,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
2249,Wakefield Wealth Management LLLP,institution,managers,0.0,0.0,True,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
445,"Maplelane 2 Fund, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
1124,"HSG Growth V Management, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
1900,CapitalG III LP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
2681,"Landscape High Leverage Fund, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
4766,"CVI Opportunities Fund I, LLLP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
6915,"Galaxy Digital, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
7308,"LMBI, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
8300,Atlas Capital GP III LP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10035,"LION FUND, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10402,"SC US/E Growth Fund X Management, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
1456,"Caledonia US, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
3489,Tetragon Partners US LP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
17981,Impax Asset Management Ltd,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
19095,"Dolan McEniry Capital Management, LLC",institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
10671,HILLTOP SECURITIES INC.,institution,managers,0.0,0.0,True,False,False,,False,,False,,B,4,ADV present but strategy_inferred=unknown
1102,Deer VII & Co. L.P.,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
1303,MILLENNIUM INTERNATIONAL MANAGEMENT LP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
1405,"Atlas Venture Fund VIII, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
1793,"HSG Growth IV Management, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
