outer_top_parent,outer_family,family_match,n_rows,aum_b
52.0,Columbia ETF Trust I,intra_family,2,0.0015361492
52.0,Columbia ETF Trust II,extra_family,22,0.25638522887000004
53.0,Hartford Funds Exchange-Traded Trust,extra_family,23,0.09126533921
53.0,Lattice Strategies Trust,extra_family,229,0.25758096382
53.0,Lattice Strategies Trust,intra_family,1,1.225728e-05
53.0,Lattice Strategies Trust,unknown_match,3,0.000802863
55.0,NEUBERGER BERMAN ADVISERS MANAGEMENT TRUST,extra_family,17,0.27634428925000004
55.0,NEUBERGER BERMAN ALTERNATIVE FUNDS,extra_family,28,1.85775761231
55.0,NEUBERGER BERMAN EQUITY FUNDS,extra_family,131,5.663570731040001
55.0,NEUBERGER BERMAN EQUITY FUNDS,unknown_match,1,0.18707048115
55.0,NEUBERGER BERMAN INCOME FUNDS,extra_family,7,0.23982745645999998
55.0,NEUBERGER BERMAN INCOME FUNDS,intra_family,1,0.0322525315
55.0,Neuberger Berman ETF Trust,extra_family,76,0.22472395988000002
55.0,Neuberger Berman ETF Trust,unknown_match,1,0.0040793055
56.0,LORD ABBETT BOND DEBENTURE FUND INC,extra_family,5,0.11047468194
56.0,LORD ABBETT BOND DEBENTURE FUND INC,intra_family,1,0.32013159318
57.0,"AB Active ETFs, Inc.",unknown_match,83,0.4822394831
58.0,Catholic Responsible Investments Funds,extra_family,6,0.00200399315
58.0,"EMPOWER FUNDS, INC.",extra_family,12,0.27044466082999996
58.0,"EMPOWER FUNDS, INC.",intra_family,17,1.272637394
58.0,JNL Series Trust,extra_family,12,0.31246034528999994
58.0,JNL Series Trust,intra_family,6,0.3854199797
58.0,SEI INSTITUTIONAL INVESTMENTS TRUST,extra_family,30,0.049785031029999996
59.0,Artisan Partners Funds Inc.,extra_family,62,1.8696647209600004
61.0,WASATCH FUNDS TRUST,extra_family,66,0.95105805848
63.0,CALAMOS ADVISORS TRUST/IL,extra_family,24,0.0080133985
63.0,CALAMOS INVESTMENT TRUST/IL,extra_family,259,3.7942601420599997
63.0,CALAMOS INVESTMENT TRUST/IL,intra_family,1,0.33782698135
63.0,CALAMOS INVESTMENT TRUST/IL,unknown_match,3,0.056805471
63.0,Calamos ETF Trust,extra_family,64,0.047489079829999996
63.0,Calamos ETF Trust,intra_family,24,0.08795126144
66.0,Touchstone ETF Trust,extra_family,7,0.0169119496
67.0,ALGER FUNDS,extra_family,68,0.9898307100799999
67.0,ALGER FUNDS II,extra_family,48,0.9584447268500002
67.0,ALGER INSTITUTIONAL FUNDS,extra_family,36,1.82072159996
67.0,ALGER PORTFOLIOS,extra_family,83,0.32808844796
67.0,ALGER PORTFOLIOS,intra_family,2,0.023202977
67.0,Alger ETF Trust,extra_family,33,0.16010300736
68.0,Natixis ETF Trust II,extra_family,6,0.24653083880999999
72.0,WILLIAM BLAIR FUNDS,extra_family,126,1.5562653467700003
73.0,ADVISORS' INNER CIRCLE III,extra_family,320,0.22544603022
73.0,ADVISORS' INNER CIRCLE III,unknown_match,3,0.015161748300000001
73.0,Baird Funds Inc,extra_family,16,0.18030871394
74.0,Harbor ETF Trust,extra_family,299,0.74728894092
74.0,Harbor ETF Trust,unknown_match,1,0.001420578
75.0,Calvert Fund,extra_family,1,0.002040125
75.0,Calvert Fund,intra_family,3,0.01446375
83.0,CREDIT SUISSE OPPORTUNITY FUNDS,extra_family,2,2.0699999999999997e-09
87.0,Delaware Group Equity Funds IV,extra_family,8,0.09940439256
87.0,Delaware Group Government Fund,extra_family,1,0.00017845257
