relationship_id,parent_entity_id,parent_name,parent_aum,parent_cik,child_entity_id,child_name,child_aum,child_cik,relationship_type,category
14435,2110,VVR Holdings LLC,0.0,0002070884,3714,"Brookfield Asset Management Private Institutional Capital Adviser US, LLC",0.0,0001590912,wholly_owned,D
14447,8160,Bell Asset Management Ltd,0.0,0001681004,7035,Brookfield Asset Management Private Institutional Capital Adviser (Canada) LP,0.0,0001504716,parent_brand,D
14531,4433,JPMORGAN CHASE & CO,0.0,0000019617,9929,"Centerbridge Partners, L.P.",0.0,0001484836,wholly_owned,D
14598,3785,"EMG Holdings, L.P.",0.0,0001478394,2381,"CLEARLAKE CAPITAL GROUP, L.P.",0.0,0001688282,wholly_owned,D
14675,4805,FRANKLIN RESOURCES INC,0.0,0000038777,3112,Benefit Street Partners LLC,0.0,0001543160,wholly_owned,D
14676,7959,"FTV Management Company, L.P.",0.0,0002021589,905,"Sixth Street Advisers, LLC",0.0,0001535464,wholly_owned,D
14677,959,"Eos Management, L.P.",0.0,0001548882,905,"Sixth Street Advisers, LLC",0.0,0001535464,wholly_owned,D
14678,1997,MQS Management LLC,0.0,0001759395,905,"Sixth Street Advisers, LLC",0.0,0001535464,wholly_owned,D
15003,2846,"PLATINUM EQUITY, LLC",0.0,0001228754,9289,"Platinum Equity Advisors, LLC/DE",0.0,0001803274,wholly_owned,D
15005,2110,VVR Holdings LLC,0.0,0002070884,9289,"Platinum Equity Advisors, LLC/DE",0.0,0001803274,wholly_owned,D
15006,6611,"Blue Capital, Inc.",0.0,0002032856,9289,"Platinum Equity Advisors, LLC/DE",0.0,0001803274,wholly_owned,D
15007,8752,Blue Owl Capital Holdings LP,0.0,0001858703,9289,"Platinum Equity Advisors, LLC/DE",0.0,0001803274,wholly_owned,D
15008,4188,SQN Investors LP,0.0,0001665887,9289,"Platinum Equity Advisors, LLC/DE",0.0,0001803274,wholly_owned,D
15018,4188,SQN Investors LP,0.0,0001665887,9289,"Platinum Equity Advisors, LLC/DE",0.0,0001803274,parent_brand,D
15027,8160,Bell Asset Management Ltd,0.0,0001681004,10593,"Brookfield Asset Management Private Institutional Capital Adviser (Private Equity), L.P.",0.0,0001666925,parent_brand,D
15029,4446,MetLife Inc,0.0,0001099219,2185,"PINEBRIDGE INVESTMENTS, L.P.",0.0,,wholly_owned,D
15042,7898,"KRS Capital Management, LLC",0.0,0001910876,8621,"Cresset Asset Management, LLC",0.0,0001761013,wholly_owned,D
15045,8414,ROB Exploration LLC,0.0,0001919283,5061,Wilshire Advisors LLC,0.0,0001616628,wholly_owned,D
15046,2366,"Thrive Capital Management, LLC",0.0,0001845943,5061,Wilshire Advisors LLC,0.0,0001616628,parent_brand,D
15047,10911,CITIGROUP INC,0.0,0000831001,5674,Citigroup Global Markets Inc.,0.0,0000315030,wholly_owned,D
15049,9349,STIFEL FINANCIAL CORP,0.0,0000720672,3624,STIFEL NICOLAUS & CO INC \MO\,0.0,0000948905,wholly_owned,D
13151,18762,AllianceBernstein Holding L.P.,0.0,0000825313,8497,ALLIANCEBERNSTEIN L.P.,709162000000.0,0001109448,parent_brand,E
12174,2920,MORGAN STANLEY,1650015946338.0,0000895421,2941,MORGAN STANLEY INVESTMENT MANAGEMENT INC,619196027920.0,0001230193,wholly_owned,E
12391,2920,MORGAN STANLEY,1650015946338.0,0000895421,11164,PARAMETRIC PORTFOLIO ASSOCIATES LLC,574020820789.0,0000932859,wholly_owned,E
14672,6203,NYL Investors LLC,312155849243.0,0001606720,164,MILLENNIUM MANAGEMENT LLC,571106932000.0,0001273087,wholly_owned,E
11642,4635,"FEDERATED HERMES, INC.",0.0,0001056288,7633,FEDERATED INVESTMENT MANAGEMENT CO,542360790853.0,0001086433,wholly_owned,E
11645,8386,"Natixis Investment Managers, LLC",0.0,0001053187,7650,LOOMIS SAYLES & CO L P,350888326513.0,0000312348,wholly_owned,E
11880,8473,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,113162976263.0,0001133639,6203,NYL Investors LLC,312155849243.0,0001606720,wholly_owned,E
12234,3404,Pictet Asset Management Holding SA,0.0,0001993888,138,PICTET ASSET MANAGEMENT SA,276677410926.0,0001361570,wholly_owned,E
11701,5026,DIMENSIONAL FUND ADVISORS LP,835713261770.0,0000354204,6248,Dimensional Fund Advisors Ltd.,276109980542.0,0001463225,wholly_owned,E
13164,686,ARROWSTREET CAPITAL HOLDING LLC,0.0,0001402828,1558,"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",253551377834.0,0001164508,mutual_structure,E
11657,4635,"FEDERATED HERMES, INC.",0.0,0001056288,11233,FEDERATED INVESTMENT COUNSELING,199641239415.0,0000819684,wholly_owned,E
12443,1066,Arthur J. Gallagher & Co.,0.0,0000354190,7738,"Gallagher Fiduciary Advisors, LLC",180614282519.0,0001527781,wholly_owned,E
13365,6526,"Oaktree Capital Holdings, LLC",0.0,0001790787,2918,OAKTREE CAPITAL MANAGEMENT LP,170989440364.0,0000949509,wholly_owned,E
12028,627,GP Brinson Investments LLC,0.0,0001860928,6276,ELKHORN PARTNERS LIMITED PARTNERSHIP,162734991569.0,0000928400,mutual_structure,E
12500,8473,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,113162976263.0,0001133639,178,Candriam S.C.A.,128735191629.0,0001537014,wholly_owned,E
12236,1444,"Leonard Green & Partners, L.P.",0.0,0001175523,4993,"Mariner, LLC",98603233201.0,0001373442,wholly_owned,E
11795,9523,ORIX Corp Europe N.V.,0.0,0001257165,9143,Boston Partners,98336524659.0,0001386060,wholly_owned,E
11972,4749,SEI INVESTMENTS CO,0.0,0000350894,6198,LSV ASSET MANAGEMENT,91060433794.0,0001050470,wholly_owned,E
11674,8386,"Natixis Investment Managers, LLC",0.0,0001053187,2271,"NATIXIS ADVISORS, LLC",85230726459.0,0001018331,wholly_owned,E
11624,2920,MORGAN STANLEY,1650015946338.0,0000895421,8459,EATON VANCE MANAGEMENT,84879368900.0,0001076598,wholly_owned,E
11675,4595,"COHEN & STEERS, INC.",0.0,0001284812,142,COHEN & STEERS CAPITAL MANAGEMENT INC,80991295731.0,0000845563,wholly_owned,E
11907,2507,Rockefeller Capital Management L.P.,0.0,0001739439,7570,ROCKEFELLER FINANCIAL LLC,70030224514.0,0001723502,wholly_owned,E
11627,17956,"Pzena Investment Management, LLC",0.0,,7665,PZENA INVESTMENT MANAGEMENT LLC,63691370902.0,0001027796,wholly_owned,E
12175,152,"CARILLON TOWER ADVISERS, INC.",16864326714.0,0001715163,7714,EAGLE ASSET MANAGEMENT INC,60652760758.0,0000790502,wholly_owned,E
12176,4723,RAYMOND JAMES FINANCIAL INC,0.0,0000720005,7714,EAGLE ASSET MANAGEMENT INC,60652760758.0,0000790502,wholly_owned,E
11651,10744,Perpetual Ltd,0.0,0001647273,8535,BARROW HANLEY MEWHINNEY & STRAUSS LLC,53255290889.0,0000313028,wholly_owned,E
11792,8968,"AFFILIATED MANAGERS GROUP, INC.",0.0,0001004434,3585,"GW&K Investment Management, LLC",52933746966.0,0001082917,wholly_owned,E
11769,4413,"LAM GROUP, INC.",0.0,0001961944,7670,"MIO PARTNERS, INC.",44925740346.0,0001535457,wholly_owned,E
13169,3545,"IES Holdings, Inc.",0.0,0001048268,2193,"PARTNERS CAPITAL INVESTMENT GROUP, LLP",41480618620.0,0001694870,wholly_owned,E
11896,2920,MORGAN STANLEY,1650015946338.0,0000895421,2981,Calvert Research & Management,39548164290.0,0001717509,wholly_owned,E
11897,1100,"Stanley Capital Management, LLC",0.0,0001518934,2981,Calvert Research & Management,39548164290.0,0001717509,wholly_owned,E
13512,2920,MORGAN STANLEY,1650015946338.0,0000895421,167,MORGAN STANLEY AIP GP LP,38666872932.0,0001230207,wholly_owned,E
12193,1100,"Stanley Capital Management, LLC",0.0,0001518934,4885,ATLANTA CAPITAL MANAGEMENT CO L L C,36284382111.0,0001027817,wholly_owned,E
12194,2920,MORGAN STANLEY,1650015946338.0,0000895421,4885,ATLANTA CAPITAL MANAGEMENT CO L L C,36284382111.0,0001027817,wholly_owned,E
12301,2920,MORGAN STANLEY,1650015946338.0,0000895421,2257,Eaton Vance Advisers International Ltd,35943138129.0,0001966572,wholly_owned,E
14432,2920,MORGAN STANLEY,1650015946338.0,0000895421,7739,MS Capital Partners Adviser Inc,34371272887.0,0001535639,wholly_owned,E
12097,11038,"Horizon Investments, LLC",0.0,0001560717,2288,"Summit Trail Advisors, LLC",26156178587.0,0001698478,wholly_owned,E
11682,11099,"72 Investment Holdings, LLC",0.0,0001832749,7759,"Sage Advisory Services, Ltd.Co.",24975056606.0,0001534378,wholly_owned,E
12034,4635,"FEDERATED HERMES, INC.",0.0,0001056288,1556,HERMES INVESTMENT MANAGEMENT LTD,24902295682.0,0001013143,wholly_owned,E
11807,10046,Pendal Group Ltd,0.0,0001541741,9821,J O HAMBRO CAPITAL MANAGEMENT LTD,23276529768.0,0000940755,wholly_owned,E
