parent_eid,parent_name,orphan_eid,orphan_name,score,action
18357,"ARIEL INVESTMENTS, LLC",70,ARIEL INVESTMENTS,87.2,WIRE
8386,"NATIXIS INVESTMENT MANAGERS, LLC",4763,NATIXIS INVESTMENT MANAGERS SA,87.1,WIRE
17960,SCHRODER INVESTMENT MANAGEMENT NORTH AMERICA INC.,17961,SCHRODER INVESTMENT MANAGEMENT NORTH AMERICA LIMITED,87.1,WIRE
18182,VAN ECK ASSOCIATES CORPORATION,6197,VAN ECK ASSOCIATES CORP,86.8,WIRE
3404,PICTET ASSET MANAGEMENT HOLDING SA,17934,PICTET ASSET MANAGEMENT SA,86.7,WIRE
18169,"VONTOBEL ASSET MANAGEMENT, INC.",6013,VONTOBEL ASSET MANAGEMENT LTD,86.7,WIRE
18976,CAPITAL MANAGEMENT ASSOCIATES INC,11186,CAPITAL MANAGEMENT ASSOCIATES /NY/,86.6,WIRE
8512,FIERA CAPITAL (EUROPE) LTD.,6545,FIERA CAPITAL (UK) LTD,85.7,WIRE
9935,WELLINGTON MANAGEMENT CO LLP,14,WELLINGTON MANAGEMENT,85.7,WIRE
18029,"FAYEZ SAROFIM & CO., LLC",7558,FAYEZ SAROFIM & CO,85.7,WIRE
19488,RBC GLOBAL ASSET MANAGEMENT (US) INC.,18149,RBC GLOBAL ASSET MANAGEMENT (UK) LIMITED,85.7,WIRE
19962,TWIN OAK ETF COMPANY,4855,TWIN OAK ETF CO,85.7,WIRE
20084,BRANDES INVESTMENT PARTNERS LP,7135,BRANDES INVESTMENT PARTNERS & CO.,85.7,WIRE
6053,"ALLSPRING GLOBAL INVESTMENTS HOLDINGS, LLC",3421,"ALLSPRING GLOBAL INVESTMENTS, LLC",85.3,WIRE
7146,"RUSSELL INVESTMENTS GROUP, LTD.",3847,RUSSELL INVESTMENTS LTD,85.2,WIRE
19306,"AEW CAPITAL MANAGEMENT, L.P.",821,AEW CAPITAL MANAGEMENT INC,85.2,WIRE
60,BROWN ADVISORY,17925,"BROWN ADVISORY, LLC",84.8,REVIEW
18210,MORGAN STANLEY INVESTMENT MANAGEMENT INC.,18227,MORGAN STANLEY INVESTMENT MANAGEMENT LIMITED,84.7,REVIEW
3589,WARBURG PINCUS LLC,4440,WARBURG PINCUS & CO.,84.2,REVIEW
5354,"JOHNSON FINANCIAL GROUP, INC.",7866,"JOHNSON FINANCIAL GROUP, LLC",84.2,REVIEW
6832,BNP PARIBAS ASSET MANAGEMENT HOLDING S.A.,8365,BNP PARIBAS ASSET MANAGEMENT UK LTD,84.2,REVIEW
14,WELLINGTON MANAGEMENT,18661,WELLINGTON MANAGEMENT COMPANY,84.0,REVIEW
4749,SEI INVESTMENTS CO,5412,SEI INVESTMENTS CANADA CO,83.7,REVIEW
4248,AMUNDI ASSET MANAGEMENT,830,"AMUNDI ASSET MANAGEMENT US, INC.",83.6,REVIEW
19956,"ADVENT CAPITAL MANAGEMENT, LLC",1963,ADVENT CAPITAL MANAGEMENT /DE/,83.3,REVIEW
8597,"FOUNDRY GROUP, LLC",723," FOUNDRY GROUP NEXT, LLC",82.9,REVIEW
9372,"LEGACY WEALTH MANAGEMENT, INC",3869,"LEGACY WEALTH MANAGEMENT, LLC / MS",82.5,REVIEW
6478,MARTIN CURRIE LTD,4098,MARTIN CURRIE INC,82.4,REVIEW
6915,"GALAXY DIGITAL, LP",11070,GALAXY DIGITAL GP LLC,82.1,REVIEW
18169,"VONTOBEL ASSET MANAGEMENT, INC.",10899,VONTOBEL ASSET MANAGEMENT S.A.,82.0,REVIEW
7146,"RUSSELL INVESTMENTS GROUP, LTD.",1962,"RUSSELL INVESTMENTS JAPAN CO., LTD.  ",81.8,REVIEW
20084,BRANDES INVESTMENT PARTNERS LP,3335,BRANDES INVESTMENT PARTNERS (EUROPE) LTD.,81.7,REVIEW
11208,"GLOBAL X MANAGEMENT COMPANY, INC.",8005,GLOBAL X MANAGEMENT CO LLC,81.4,REVIEW
17979,IMPAX ASSET MANAGEMENT LLC,7493,IMPAX ASSET MANAGEMENT (AIFM) LTD,81.4,REVIEW
9372,"LEGACY WEALTH MANAGEMENT, INC",1949,"LEGACY WEALTH ASSET MANAGEMENT, LLC",81.2,REVIEW
22,GOLDMAN SACHS ASSET MANAGEMENT,18776,GOLDMAN SACHS ASSET MANAGEMENT INTERNATIONAL,81.1,REVIEW
6915,"GALAXY DIGITAL, LP",8237,GALAXY DIGITAL INC.,81.1,REVIEW
3703,DAVIS SELECTED ADVISERS,17975,"DAVIS SELECTED ADVISERS - NY, INC.",80.7,REVIEW
6478,MARTIN CURRIE LTD,18701,MARTIN CURRIE INC.,80.0,REVIEW
9372,"LEGACY WEALTH MANAGEMENT, INC",1882,"LEGACY WEALTH MANAGMENT, LLC/ID",80.0,REVIEW
17941,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.",18776,GOLDMAN SACHS ASSET MANAGEMENT INTERNATIONAL,80.0,REVIEW
6832,BNP PARIBAS ASSET MANAGEMENT HOLDING S.A.,7338,BNP PARIBAS ASSET MANAGEMENT ASIA LTD,79.5,REVIEW
6832,BNP PARIBAS ASSET MANAGEMENT HOLDING S.A.,1283,BNP PARIBAS ASSET MANAGEMENT EUROPE,78.9,REVIEW
7146,"RUSSELL INVESTMENTS GROUP, LTD.",10172,RUSSELL INVESTMENTS CANADA LTD,78.7,REVIEW
20084,BRANDES INVESTMENT PARTNERS LP,643,BRANDES INVESTMENT PARTNERS (ASIA) PTE. LTD.,78.4,REVIEW
19170,CAPITAL  ADVISORS INC,5037,"CAPITAL ADVISORS, LTD. LLC",78.3,REVIEW
10872,JPMORGAN ASSET MANAGEMENT (CANADA) INC.,21,JPMORGAN ASSET MANAGEMENT,78.1,REVIEW
19277,"KIRR, MARBACH & COMPANY, LLC",6645,KIRR MARBACH & CO LLC /IN/,77.8,REVIEW
6915,"GALAXY DIGITAL, LP",1886,GALAXY DIGITAL HOLDINGS LP,77.3,REVIEW
8760,"BAIN CAPITAL PUBLIC EQUITY, LP",8855,"BAIN CAPITAL PUBLIC EQUITY MANAGEMENT II, LLC",77.3,REVIEW
2845,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",9005,"SUMITOMO MITSUI TRUST GROUP, INC.",77.1,REVIEW
9005,"SUMITOMO MITSUI TRUST GROUP, INC.",2845,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",77.1,REVIEW
673,LINCOLN CAPITAL LLC,1679,LINCOLN CAPITAL CORP,76.9,REVIEW
6322,AGF INVESTMENTS LLC,4963,AGF INVESTMENTS INC.,76.9,REVIEW
19999,"U.S. BANCORP ASSET MANAGEMENT, INC.",1554,"U.S. BANCORP INVESTMENTS, INC.",76.9,REVIEW
6348,PRINCIPAL GLOBAL INVESTORS,54,PRINCIPAL GLOBAL,76.2,REVIEW
3429,"BEACON INVESTMENT ADVISORY SERVICES, INC.",6109,BEACON INVESTMENT ADVISORS LLC,76.1,REVIEW
19870,Q3 ASSET MANAGEMENT CORPORATION,4082,Q3 ASSET MANAGEMENT,76.0,REVIEW
3809,IMPAX ASSET MANAGEMENT GROUP PLC,2481,IMPAX ASSET MANAGEMENT LTD,75.9,REVIEW
3809,IMPAX ASSET MANAGEMENT GROUP PLC,17979,IMPAX ASSET MANAGEMENT LLC,75.9,REVIEW
3809,IMPAX ASSET MANAGEMENT GROUP PLC,17981,IMPAX ASSET MANAGEMENT LTD,75.9,REVIEW
17979,IMPAX ASSET MANAGEMENT LLC,3809,IMPAX ASSET MANAGEMENT GROUP PLC,75.9,REVIEW
8760,"BAIN CAPITAL PUBLIC EQUITY, LP",8708,"BAIN CAPITAL CREDIT, LP",75.5,REVIEW
17960,SCHRODER INVESTMENT MANAGEMENT NORTH AMERICA INC.,4931,SCHRODER INVESTMENT MANAGEMENT GROUP,75.3,REVIEW
1399,JANUS HENDERSON GROUP PLC,51,JANUS HENDERSON,75.0,REVIEW
3350,JEFFERIES FINANCIAL GROUP INC.,9596,"JEFFERIES FINANCIAL SERVICES, INC.",75.0,REVIEW
9591,LGT CAPITAL PARTNERS LTD.,10115,LGT CAPITAL PARTNERS (ASIA-PACIFIC) LTD,75.0,REVIEW
