crd,firm_name,entity_id,entity_type,aum_billions,total_parsed_rows,individuals_found,entities_no_code,entities_with_code,classification,action,reason,best_match_name,best_match_score,best_match_target
130566,WINTON CAPITAL MANAGEMENT LTD.,9131,institution,10.14,1,1,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $10.1B — likely has corporate parent",,,
139895,CATALYST CAPITAL ADVISORS LLC,9990,institution,10.13,7,6,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
110631,"PINNACLE ASSOCIATES, LTD.",2953,institution,9.87,30,24,0,6,PARSER_GAP,REVIEW,6 entities with codes but no relationship type,,,
113128,"CULLEN CAPITAL MANAGEMENT, LLC",313,institution,9.09,7,6,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
144516,"NICHOLAS HOFFMAN & COMPANY, LLC",8616,institution,8.26,4,3,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
105633,"BROWN CAPITAL MANAGEMENT, LLC",10537,institution,8.1,1,0,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
106375,BROWN ADVISORY,1646,institution,7.32,1,0,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
106237,"AVANTAX PLANNING PARTNERS, INC.",1012,institution,6.93,5,0,5,0,ENTITY_NO_CODE,REVIEW,5 entities missing ownership code,,,
285961,FACET,5064,institution,6.04,15,9,3,3,PARSER_GAP,REVIEW,3 entities with codes but no relationship type,,,
105879,DANA INVESTMENT ADVISORS INC,9233,institution,5.76,25,24,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
146615,MAINSTREET ADVISORS,3018,institution,5.41,3,2,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
109473,TODD ASSET MANAGEMENT LLC,10540,institution,5.09,10,9,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
104951,FAMILY MANAGE LLC,4384,institution,4.4,9,8,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
109116,HAMILTON CAPITAL,5737,institution,4.38,11,10,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
108526,MARTINGALE ASSET MANAGEMENT,9181,institution,4.31,7,6,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
105508,"SCHARF INVESTMENTS, LLC",9179,institution,4.23,4,2,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
110420,HERITAGE INVESTORS MANAGEMENT CORP,4252,institution,4.18,12,8,0,4,PARSER_GAP,REVIEW,4 entities with codes but no relationship type,,,
105203,"THE PACIFIC FINANCIAL GROUP, INC.",9115,institution,4.11,4,3,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
106233,"ALASKA PERMANENT CAPITAL MANAGEMENT, LLC",2387,institution,4.09,1,0,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
136932,"GLAZER CAPITAL, LLC.",8472,institution,4.08,7,6,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
269931,PROFICIO CAPITAL PARTNERS LLC,11146,institution,3.98,11,10,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
128221,VAN BERKOM AND ASSOCIATES INC.,11179,institution,3.8,20,16,0,4,PARSER_GAP,REVIEW,4 entities with codes but no relationship type,,,
106201,SECURITY CAPITAL RESEARCH & MANAGEMENT INCORPORATED,9114,institution,3.77,9,6,3,0,ENTITY_NO_CODE,REVIEW,3 entities missing ownership code,,,
149320,"BIENVILLE CAPITAL MANAGEMENT, LLC",317,institution,3.75,6,5,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
105439,ACCREDITED INVESTORS WEALTH MANAGEMENT,4331,institution,3.72,13,11,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
107148,"FOSTER GROUP, INC.",10657,institution,3.54,14,12,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
110003,MANCHESTER CAPITAL MANAGEMENT LLC,5054,institution,3.54,17,13,0,4,PARSER_GAP,REVIEW,4 entities with codes but no relationship type,,,
104726,HOWLAND CAPITAL MANAGEMENT LLC,2963,institution,3.32,13,12,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
109585,PROFUND ADVISORS LLC,2261,institution,3.3,9,7,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
106945,THE BURNEY COMPANY,192,institution,3.14,14,13,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
105581,SHAPIRO CAPITAL MANAGEMENT LLC,11183,institution,2.95,14,9,5,0,ENTITY_NO_CODE,REVIEW,5 entities missing ownership code,,,
128591,"SCHNEIDER DOWNS WEALTH MANAGEMENT ADVISORS, LP",5738,institution,2.91,2,0,2,0,ENTITY_NO_CODE,REVIEW,2 entities missing ownership code,,,
150593,"SENTRY, LLC",4303,institution,2.72,2,1,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
130640,GIVERNY CAPITAL,4369,institution,2.7,9,6,0,3,PARSER_GAP,REVIEW,3 entities with codes but no relationship type,,,
46217,HOLLENCREST CAPITAL MANAGEMENT,6409,institution,2.67,6,5,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
110861,AMERICAN CAPITAL MANAGEMENT INC,11195,institution,2.64,9,6,0,3,PARSER_GAP,REVIEW,3 entities with codes but no relationship type,,,
127398,"CHICKASAW CAPITAL MANAGEMENT, LLC",1559,institution,2.53,7,6,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
197522,DUNDAS GLOBAL INVESTORS,7773,institution,2.53,9,8,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
109505,DOMINI IMPACT INVESTMENTS LLC,7930,institution,2.44,18,14,0,4,PARSER_GAP,REVIEW,4 entities with codes but no relationship type,,,
105343,"BALDWIN WEALTH PARTNERS, LLC",193,institution,2.41,10,8,0,2,PARSER_GAP,REVIEW,2 entities with codes but no relationship type,,,
111447,STONEBRIDGE CAPITAL ADVISORS LLC,10501,institution,2.27,10,9,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
104764,COZAD ASSET MANAGEMENT INC,9921,institution,2.24,16,13,0,3,PARSER_GAP,REVIEW,3 entities with codes but no relationship type,,,
288210,GRYPHON FINANCIAL PARTNERS,10553,institution,2.03,6,5,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
106817,PINNACLE ADVISORS,6954,institution,1.94,22,14,0,8,PARSER_GAP,REVIEW,8 entities with codes but no relationship type,,,
157423,ALPHASTAR CAPITAL MANAGEMENT,5722,institution,1.84,14,13,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
