filer_cik,filer_name,filing_count,targets,latest_filing,earliest_filing,last_form_type,auto_classification,manual_classification,existing_entity_id,action,notes
1991777,Johnson Frances,1,1,2023-09-19,2023-09-19,SC 13G,INSTITUTION,INDIVIDUAL,,,
1065280,0001065280,1,0,2024-02-13,2024-02-13,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
59951,Bank of the West,1,1,2022-04-14,2022-04-14,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1794905,"Cyxtera Technologies, Inc.",1,1,2024-02-14,2024-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1635752,South32 Ltd,1,1,2023-05-16,2023-05-16,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1612842,Wagner Paul A.,1,1,2023-08-15,2023-08-15,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
932781,FIRST COMMUNITY CORP /SC/,1,1,2024-02-13,2024-02-13,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1575666,"Scale Venture Partners IV, L.P.",1,1,2022-02-07,2022-02-07,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as venture_capital","auto-classified, single-filing filer, low priority"
1207269,RILEY BRYANT R,1,1,2024-10-30,2024-10-30,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1814538,BGPT Trebia LP,1,1,2023-12-06,2023-12-06,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1992109,Schultz Michael K,1,1,2023-09-19,2023-09-19,SC 13G,INSTITUTION,INDIVIDUAL,,,
1847355,"Target Global Acquisition I Corp.  (TGAA, TGAAU, TGAAW)",1,1,2024-02-13,2024-02-13,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1805595,Swarth Investments Ltd.,1,1,2022-08-18,2022-08-18,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1682246,Villano John L.,1,1,2022-01-28,2022-01-28,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1493566,"OTONOMY, INC.",1,1,2022-09-09,2022-09-09,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1722010,OP Bancorp,1,1,2022-02-11,2022-02-11,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1535198,"SEQUOIA CAPITAL GLOBAL GROWTH FUND, L.P.",1,1,2022-02-14,2022-02-14,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1363727,Carballo Delfin Jorge,1,1,2023-06-27,2023-06-27,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1767568,Lorentzon Sven Hans Martin,1,1,2022-02-03,2022-02-03,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1930730,Clark Christopher,1,1,2022-10-31,2022-10-31,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1743984,"GCM Investments GP, LLC",1,1,2024-05-17,2024-05-17,SC 13D,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
2011672,Shelf Holdco II Ltd,1,1,2024-02-13,2024-02-13,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1276191,WARREN KELCY L,1,1,2024-09-17,2024-09-17,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1145443,Manulife Financial Corporation,1,1,2022-02-16,2022-02-16,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1031689,STERTZER SIMON H,1,1,2023-01-09,2023-01-09,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
63271,Panasonic Holdings Corp,1,1,2024-02-29,2024-02-29,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1802974,Stephen J. Barnard,1,1,2024-01-22,2024-01-22,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1731122,Marc Beginin,1,1,2022-11-03,2022-11-03,SC 13D,INSTITUTION,INDIVIDUAL,,,
1844276,Auspice Ltd,1,1,2022-04-06,2022-04-06,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1858007,"Goldenstone Acquisition Ltd.  (GDST, GDSTR, GDSTU, GDSTW)",1,1,2024-02-13,2024-02-13,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1658014,Maritime Investors Corp.,1,1,2024-03-07,2024-03-07,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1132679,STEINMAN LAWRENCE,1,1,2023-06-08,2023-06-08,SC 13D,INSTITUTION,INDIVIDUAL,,,
1832617,Xu Tony,1,1,2022-02-15,2022-02-15,SC 13G,INSTITUTION,INDIVIDUAL,,,
1774674,Churchill Sponsor II LLC,1,1,2023-02-14,2023-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1683695,"International Money Express, Inc.",1,1,2022-02-10,2022-02-10,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1790026,KILKENNY STEPHANIE,1,1,2022-12-21,2022-12-21,SC 13D,INSTITUTION,INDIVIDUAL,,,
1098349,SALZMAN ALAN E,1,1,2024-10-25,2024-10-25,SC 13G,INSTITUTION,INDIVIDUAL,,,
