investor_name,ciks,positions,aum_mm,total_shares
Marshfield Associates,1,17,5704.8,27806588
Local Pensions Partnership Investment Ltd,1,32,5680.1,19743257
AIA Group Ltd,1,394,5656.8,47025728
"Facet Wealth, Inc.",1,295,5650.2,59885199
"Global Retirement Partners, LLC",1,3397,5636.1,70857711
Comgest Global Investors S.A.S.,1,53,5611.2,23723720
"Deep Track Capital, LP",1,51,5608.7,206106228
"Interval Partners, LP",1,264,5586.4,65976262
Exor N.V.,1,2,5577.7,263959985
Hancock Whitney Corp,1,726,5546.3,49577050
"Energy Income Partners, LLC",1,85,5521.2,124580030
Situational Awareness LP,1,24,5516.8,139707516
"Badgley Phelps Wealth Managers, LLC",1,320,5459.9,36810410
Japan Science & Technology Agency,1,12,5442.8,53991810
Barings LLC,1,156,5427.0,243740727
"Evoke Wealth, LLC",1,629,5357.8,71901915
"Sessa Capital IM, L.P.",1,27,5349.6,139342871
Cannell & Spears LLC,1,378,5345.2,75027677
"Donald Smith & Co., Inc.",1,49,5338.5,266758027
"RFG Advisory, LLC",1,829,5311.7,134129054
"Blue Sparrow, LLC /DE",1,95,5311.0,20999039
Bellevue Group AG,1,173,5276.9,85818727
"SIH Partners, LLLP",1,158,5275.3,145828853
"Annex Advisory Services, LLC",1,344,5235.5,85624870
Deprince Race & Zollo Inc,1,180,5225.6,124256223
Caledonia (Private) Investments Pty Ltd,1,14,5216.7,102269315
Mizuho Markets Americas LLC,1,132,5175.4,95997390
EFG International AG,1,798,5171.1,37957617
"Atalanta Sosnoff Capital, LLC",1,104,5128.9,22160657
Cincinnati Financial Corp,1,53,5122.8,28782650
"Scge Management, L.P.",1,22,5122.6,28299787
Caxton Associates LLP,1,741,5107.1,78881051
"Vise Technologies, Inc.",1,1396,5104.4,71433619
Altarock Partners LP,1,8,5100.1,12951311
Milford Funds Ltd,1,75,5092.4,45141971
"Evergreen Quality Fund GP, Ltd.",1,42,5068.0,45266476
"Apella Capital, LLC",1,514,5060.3,82039209
Ossiam,1,360,5007.5,35528494
Equity Investment Corp,1,70,4953.3,93500963
"Darwin Global Management, Ltd.",1,6,4939.4,36235099
"Harbour Investments, Inc.",1,2812,4931.5,82288086
Mgo One Seven LLC,1,1226,4902.3,63424624
Maryland State Retirement & Pension System,1,1343,4856.6,58206403
"Catterton Management Company, L.L.C.",1,3,4835.3,118296746
"Advent International, L.P.",1,22,4832.1,795231164
AQR Arbitrage LLC,1,213,4752.3,1313891986
"Caprock Group, LLC",1,1126,4734.3,59881808
"MFN Partners Management, LP",1,9,4706.6,99405944
Nepc LLC,1,48,4692.6,67600444
"AlTi Global, Inc.",1,430,4664.0,52064959
ArrowMark Colorado Holdings LLC,1,290,4544.4,150460539
Stockbridge Partners LLC,1,13,4543.2,15548514
Maven Securities LTD,1,235,4529.4,89088869
Resolution Capital Ltd,1,41,4524.4,60829529
"Bailard, Inc.",1,697,4516.5,41023058
"Kovitz Investment Group Partners, LLC",1,460,4516.4,39550604
CastleKnight Management LP,1,277,4514.4,162113016
"Jasper Ridge Partners, L.P.",1,137,4513.7,53498235
Zevenbergen Capital Investments LLC,1,80,4496.5,25698358
AlphaCore Capital LLC,1,1214,4482.3,72385260
"NorthCrest Asset Manangement, LLC",1,763,4482.3,31883494
Freemont Capital Pte Ltd,1,5,4473.5,36806614
Y-Intercept (Hong Kong) Ltd,1,1421,4470.8,114669419
Robeco Schweiz AG,1,124,4463.1,49241191
"Donor Advised Charitable Giving, Inc.",1,43,4456.9,24392530
Northwest & Ethical Investments L.P.,1,460,4444.4,47739624
"Truepoint, Inc.",1,143,4443.9,58816068
BW Gestao de Investimentos Ltda.,1,182,4431.9,74981415
Linonia Partnership LP,1,12,4419.5,35042479
Caisse Des Depots et Consignations,1,204,4392.0,60271784
Old Mission Capital LLC,1,347,4369.0,164337643
HBK Sorce Advisory LLC,1,595,4353.8,79844797
