crd,firm_name,legal_name,city,state,aum_billions,name_match_score,flag
300095,SHAOLIN CAPITAL MANAGEMENT LLC,SHAOLIN CAPITAL MANAGEMENT LLC,MIAMI,FL,4.36,100,MINOR_VARIANT
304237,VENTURE VISIONARY PARTNERS LLC,VENTURE VISIONARY PARTNERS LLC,SYLVANIA,OH,4.36,100,MINOR_VARIANT
105276,SOUTHEASTERN ASSET MANAGEMENT INC.,SOUTHEASTERN ASSET MANAGEMENT INC.,MEMPHIS,TN,4.33,100,MINOR_VARIANT
108526,MARTINGALE ASSET MANAGEMENT,MARTINGALE ASSET MANAGEMENT LP,BOSTON,MA,4.31,95,MINOR_VARIANT
298079,AARON WEALTH ADVISORS,AARON WEALTH ADVISORS LLC,CHICAGO,IL,4.29,91,MINOR_VARIANT
104947,"DONALD SMITH & CO., INC.","DONALD SMITH & CO., INC.",NEW YORK,NY,4.26,100,MINOR_VARIANT
287792,TAIKO,ADVISOR OS LLC,CHICAGO,IL,4.25,32,DBA_MISMATCH
105508,"SCHARF INVESTMENTS, LLC","SCHARF INVESTMENTS, LLC",LOS GATOS,CA,4.23,100,MINOR_VARIANT
110420,HERITAGE INVESTORS MANAGEMENT CORP,HERITAGE INVESTORS MANAGEMENT CORP,BETHESDA,MD,4.18,100,MINOR_VARIANT
161566,MILLSTREET CAPITAL MANAGEMENT LLC,MILLSTREET CAPITAL MANAGEMENT LLC,BOSTON,MA,4.13,100,MINOR_VARIANT
105203,"THE PACIFIC FINANCIAL GROUP, INC.",PACIFIC FINANCIAL GROUP INC,NASHVILLE,TN,4.11,90,MINOR_VARIANT
106233,"ALASKA PERMANENT CAPITAL MANAGEMENT, LLC","ALASKA PERMANENT CAPITAL MANAGEMENT, LLC",ANCHORAGE,AK,4.09,100,MINOR_VARIANT
164666,"CORNERSTONE WEALTH MANAGEMENT, LLC","CORNERSTONE WEALTH MANAGEMENT, LLC",ST. PETERS,MO,4.08,100,MINOR_VARIANT
136932,"GLAZER CAPITAL, LLC.","GLAZER CAPITAL, LLC.",NEW YORK,NY,4.08,100,MINOR_VARIANT
140522,"TWIN FOCUS CAPITAL PARTNERS, LLC","TWIN FOCUS CAPITAL PARTNERS, LLC",BOSTON,MA,4.05,100,MINOR_VARIANT
126992,YALE CAPITAL CORP.,TEXAS YALE CAPITAL CORP.,ST. PETERSBURG,FL,4.04,86,MINOR_VARIANT
110929,CG ADVISORY SERVICES,"CAPITAL ASSET ADVISORY SERVICES, LLC.",WILLIAMSTON,MI,4.02,67,DBA_MISMATCH
124729,"CARDINAL CAPITAL MANAGEMENT, INC.","CARDINAL CAPITAL MANAGEMENT, INC.",WINNIPEG,,4.02,100,MINOR_VARIANT
269931,PROFICIO CAPITAL PARTNERS LLC,PROFICIO CAPITAL PARTNERS LLC,NEWTON,MA,3.98,100,MINOR_VARIANT
291194,"TEAM HEWINS, LLC","TEAM HEWINS, LLC",FOSTER CITY,CA,3.97,100,MINOR_VARIANT
111042,WILLIS INVESTMENT COUNSEL INC,WILLIS INVESTMENT COUNSEL INC,GAINESVILLE,GA,3.95,100,MINOR_VARIANT
105471,OBERWEIS ASSET MANAGEMENT INC,OBERWEIS ASSET MANAGEMENT INC,LISLE,IL,3.94,100,MINOR_VARIANT
167121,"ECOR1 CAPITAL, LLC","ECOR1 CAPITAL, LLC",SAN FRANCISCO,CA,3.91,100,MINOR_VARIANT
107930,ARGENT CAPITAL MANAGEMENT LLC,ARGENT CAPITAL MANAGEMENT LLC,CLAYTON,MO,3.9,100,MINOR_VARIANT
